PARAMETRIC_CURVE_CARTESIAN_2D
Archimedean spiral
t1: 0
t2: 11
NumPoints: 101
0 0 0 
0.11 0.109335 0.0120756 
0.22 0.214697 0.0480105 
0.33 0.312194 0.106934 
0.44 0.398091 0.187413 
0.55 0.468888 0.287478 
0.66 0.521395 0.404657 
0.77 0.552791 0.536024 
0.88 0.560693 0.67825 
0.99 0.543203 0.827666 
1.1 0.498956 0.980328 
1.21 0.427153 1.1321 
1.32 0.327592 1.2787 
1.43 0.200674 1.41585 
1.54 0.0474188 1.53927 
1.65 -0.130549 1.64483 
1.76 -0.331015 1.72859 
1.87 -0.5512 1.78692 
1.98 -0.7878 1.81653 
2.09 -1.03703 1.81457 
2.2 -1.2947 1.77869 
2.31 -1.55625 1.7071 
2.42 -1.81683 1.59861 
2.53 -2.0714 1.45266 
2.64 -2.3148 1.26937 
2.75 -2.54183 1.04957 
2.86 -2.74736 0.794754 
2.97 -2.92638 0.507133 
3.08 -3.07416 0.189585 
3.19 -3.18626 -0.154359 
3.3 -3.25868 -0.520561 
3.41 -3.2879 -0.904319 
3.52 -3.27097 -1.30043 
3.63 -3.20559 -1.70327 
3.74 -3.09011 -2.10684 
3.85 -2.92369 -2.50491 
3.96 -2.7062 -2.89103 
4.07 -2.43838 -3.25871 
4.18 -2.12174 -3.60148 
4.29 -1.75865 -3.91296 
4.4 -1.35226 -4.18705 
4.51 -0.906556 -4.41795 
4.62 -0.42623 -4.6003 
4.73 0.0832958 -4.72927 
4.84 0.615962 -4.80064 
4.95 1.16514 -4.81092 
5.06 1.7237 -4.75736 
5.17 2.28414 -4.63806 
5.28 2.83863 -4.45203 
5.39 3.37917 -4.1992 
5.5 3.89768 -3.88047 
5.61 4.38612 -3.49772 
5.72 4.8366 -3.05381 
5.83 5.2415 -2.55256 
5.94 5.59362 -1.99874 
6.05 5.88626 -1.39802 
6.16 6.11332 -0.756904 
6.27 6.26945 -0.0826695 
6.38 6.35012 0.616713 
6.49 6.3517 1.33268 
6.6 6.27154 2.05617 
6.71 6.10804 2.77776 
6.82 5.86071 3.48776 
6.93 5.53019 4.17635 
7.04 5.11827 4.83373 
7.15 4.62789 5.45024 
7.26 4.06317 6.0165 
7.37 3.42931 6.52355 
7.48 2.73263 6.96298 
7.59 1.98043 7.32707 
7.7 1.18098 7.6089 
7.81 0.343386 7.80245 
7.92 -0.522486 7.90275 
8.03 -1.40614 7.90593 
8.14 -2.29658 7.80931 
8.25 -3.18242 7.61148 
8.36 -4.05208 7.31234 
8.47 -4.89388 6.91309 
8.58 -5.69624 6.41633 
8.69 -6.4478 5.82597 
8.8 -7.13762 5.14727 
8.91 -7.75528 4.38676 
9.02 -8.29109 3.55221 
9.13 -8.73619 2.65252 
9.24 -9.08271 1.69765 
9.35 -9.32387 0.698523 
9.46 -9.45413 -0.333132 
9.57 -9.46926 -1.3849 
9.68 -9.36644 -2.44382 
9.79 -9.1443 -3.49656 
9.9 -8.80299 -4.52961 
10.01 -8.34423 -5.52937 
10.12 -7.77126 -6.48243 
10.23 -7.08889 -7.37567 
10.34 -6.30341 -8.1965 
10.45 -5.4226 -8.93297 
10.56 -4.45559 -9.57399 
10.67 -3.41283 -10.1095 
10.78 -2.30593 -10.5305 
10.89 -1.14757 -10.8294 
11 0.0486827 -10.9999 
