PARAMETRIC_CURVE_CARTESIAN_2D
Archimedean spiral
t1: 0
t2: 10.9956
NumPoints: 101
0 0 0 
0.109956 0.65575 0.0723955 
0.219911 1.28769 0.287833 
0.329867 1.8725 0.641098 
0.439823 2.38778 1.12361 
0.549779 2.81258 1.72355 
0.659734 3.12775 2.42614 
0.76969 3.31641 3.21382 
0.879646 3.36424 4.06667 
0.989602 3.25988 4.9627 
1.09956 2.99513 5.87828 
1.20951 2.56519 6.78859 
1.31947 1.96883 7.66809 
1.42942 1.20845 8.49099 
1.53938 0.290119 9.23172 
1.64934 -0.776433 9.86551 
1.75929 -1.97795 10.3688 
1.86925 -3.29781 10.7197 
1.9792 -4.71622 10.8985 
2.08916 -6.21055 10.8883 
2.19911 -7.75564 10.6747 
2.30907 -9.3242 10.2472 
2.41903 -10.8872 9.59838 
2.52898 -12.4145 8.72507 
2.63894 -13.8751 7.62791 
2.74889 -15.2379 6.31174 
2.85885 -16.472 4.78556 
2.96881 -17.5476 3.06254 
3.07876 -18.4361 1.1599 
3.18872 -19.1111 -0.901255 
3.29867 -19.5484 -3.09616 
3.40863 -19.7269 -5.39667 
3.51858 -19.629 -7.77166 
3.62854 -19.2407 -10.1874 
3.7385 -18.5522 -12.6081 
3.84845 -17.5583 -14.9962 
3.95841 -16.2583 -17.3133 
4.06836 -14.6564 -19.5204 
4.17832 -12.7616 -21.5787 
4.28827 -10.5881 -23.4501 
4.39823 -8.15477 -25.0978 
4.50819 -5.48522 -26.4871 
4.61814 -2.60763 -27.5859 
4.7281 0.445594 -28.3651 
4.83805 3.63821 -28.7994 
4.94801 6.93054 -28.8678 
5.05796 10.2799 -28.5536 
5.16792 13.6414 -27.8456 
5.27788 16.9682 -26.7375 
5.38783 20.2122 -25.229 
5.49779 23.3251 -23.3251 
5.60774 26.2587 -21.0372 
5.7177 28.9657 -18.3822 
5.82765 31.4004 -15.3829 
5.93761 33.5195 -12.0678 
6.04757 35.2828 -8.47066 
6.15752 36.6538 -4.63045 
6.26748 37.6002 -0.590672 
6.37743 38.0948 3.60102 
6.48739 38.1156 7.89336 
6.59734 37.6467 12.2321 
6.7073 36.6783 16.5609 
6.81726 35.2074 20.8216 
6.92721 33.2375 24.9554 
7.03717 30.7792 28.9036 
7.14712 27.8501 32.6083 
7.25708 24.4745 36.0131 
7.36703 20.6835 39.0644 
7.47699 16.5148 41.7116 
7.58695 12.0119 43.9083 
7.6969 7.22436 45.6128 
7.80686 2.20652 46.7891 
7.91681 -2.9826 47.4071 
8.02677 -8.28021 47.4435 
8.13672 -13.6204 46.8819 
8.24668 -18.9352 45.7136 
8.35664 -24.155 43.9379 
8.46659 -29.21 41.5616 
8.57655 -34.0306 38.6002 
8.6865 -38.5488 35.0768 
8.79646 -42.6989 31.0226 
8.90642 -46.4184 26.4766 
9.01637 -49.6489 21.485 
9.12633 -52.3373 16.101 
9.23628 -54.4361 10.3842 
9.34624 -55.9046 4.39978 
9.45619 -56.7092 -1.78216 
9.56615 -56.8243 -8.08729 
9.67611 -56.2327 -14.4381 
9.78606 -54.9259 -20.7548 
9.89602 -52.9045 -26.9562 
10.006 -50.1784 -32.961 
10.1159 -46.7667 -38.6888 
10.2259 -42.6979 -44.0609 
10.3358 -38.0095 -49.0015 
10.4458 -32.7475 -53.439 
10.5558 -26.9665 -57.3068 
10.6657 -20.7288 -60.544 
10.7757 -14.1038 -63.0969 
10.8856 -7.16716 -64.9193 
