PARAMETRIC_CURVE_CARTESIAN_2D
Astroid
t1: 0
t2: 6.28319
NumPoints: 101
0 1 0 
0.0628319 0.994092 0.000247561 
0.125664 0.97653 0.00196879 
0.188496 0.947797 0.00657929 
0.251327 0.90868 0.0153806 
0.314159 0.860239 0.0295085 
0.376991 0.803777 0.0498867 
0.439823 0.740793 0.0771887 
0.502655 0.672928 0.111809 
0.565487 0.601913 0.153841 
0.628319 0.529508 0.203075 
0.69115 0.457447 0.258991 
0.753982 0.38737 0.320782 
0.816814 0.320782 0.38737 
0.879646 0.258991 0.457447 
0.942478 0.203075 0.529508 
1.00531 0.153841 0.601913 
1.06814 0.111809 0.672928 
1.13097 0.0771887 0.740793 
1.19381 0.0498867 0.803777 
1.25664 0.0295085 0.860239 
1.31947 0.0153806 0.90868 
1.3823 0.00657929 0.947797 
1.44513 0.00196879 0.97653 
1.50796 0.000247561 0.994092 
1.5708 -2.21337e-46 1 
1.63363 -0.000247561 0.994092 
1.69646 -0.00196879 0.97653 
1.75929 -0.00657929 0.947797 
1.82212 -0.0153806 0.90868 
1.88496 -0.0295085 0.860239 
1.94779 -0.0498867 0.803777 
2.01062 -0.0771887 0.740793 
2.07345 -0.111809 0.672928 
2.13628 -0.153841 0.601913 
2.19911 -0.203075 0.529508 
2.26195 -0.258991 0.457447 
2.32478 -0.320782 0.38737 
2.38761 -0.38737 0.320782 
2.45044 -0.457447 0.258991 
2.51327 -0.529508 0.203075 
2.57611 -0.601913 0.153841 
2.63894 -0.672928 0.111809 
2.70177 -0.740793 0.0771887 
2.7646 -0.803777 0.0498867 
2.82743 -0.860239 0.0295085 
2.89027 -0.90868 0.0153806 
2.9531 -0.947797 0.00657929 
3.01593 -0.97653 0.00196879 
3.07876 -0.994092 0.000247561 
3.14159 -1 -1.64272e-44 
3.20442 -0.994092 -0.000247561 
3.26726 -0.97653 -0.00196879 
3.33009 -0.947797 -0.00657929 
3.39292 -0.90868 -0.0153806 
3.45575 -0.860239 -0.0295085 
3.51858 -0.803777 -0.0498867 
3.58142 -0.740793 -0.0771887 
3.64425 -0.672928 -0.111809 
3.70708 -0.601913 -0.153841 
3.76991 -0.529508 -0.203075 
3.83274 -0.457447 -0.258991 
3.89557 -0.38737 -0.320782 
3.95841 -0.320782 -0.38737 
4.02124 -0.258991 -0.457447 
4.08407 -0.203075 -0.529508 
4.1469 -0.153841 -0.601913 
4.20973 -0.111809 -0.672928 
4.27257 -0.0771887 -0.740793 
4.3354 -0.0498867 -0.803777 
4.39823 -0.0295085 -0.860239 
4.46106 -0.0153806 -0.90868 
4.52389 -0.00657929 -0.947797 
4.58673 -0.00196879 -0.97653 
4.64956 -0.000247561 -0.994092 
4.71239 -6.19878e-48 -1 
4.77522 0.000247561 -0.994092 
4.83805 0.00196879 -0.97653 
4.90088 0.00657929 -0.947797 
4.96372 0.0153806 -0.90868 
5.02655 0.0295085 -0.860239 
5.08938 0.0498867 -0.803777 
5.15221 0.0771887 -0.740793 
5.21504 0.111809 -0.672928 
5.27788 0.153841 -0.601913 
5.34071 0.203075 -0.529508 
5.40354 0.258991 -0.457447 
5.46637 0.320782 -0.38737 
5.5292 0.38737 -0.320782 
5.59203 0.457447 -0.258991 
5.65487 0.529508 -0.203075 
5.7177 0.601913 -0.153841 
5.78053 0.672928 -0.111809 
5.84336 0.740793 -0.0771887 
5.90619 0.803777 -0.0498867 
5.96903 0.860239 -0.0295085 
6.03186 0.90868 -0.0153806 
6.09469 0.947797 -0.00657929 
6.15752 0.97653 -0.00196879 
6.22035 0.994092 -0.000247561 
6.28319 1 -7.60227e-43 
