PARAMETRIC_CURVE_CARTESIAN_2D
Astroid
t1: 0
t2: 6.28319
NumPoints: 101
0 8 0 
0.0628319 7.95273 0.00198049 
0.125664 7.81224 0.0157503 
0.188496 7.58238 0.0526343 
0.251327 7.26944 0.123045 
0.314159 6.88191 0.236068 
0.376991 6.43022 0.399093 
0.439823 5.92634 0.617509 
0.502655 5.38342 0.894469 
0.565487 4.8153 1.23073 
0.628319 4.23607 1.6246 
0.69115 3.65957 2.07193 
0.753982 3.09896 2.56626 
0.816814 2.56626 3.09896 
0.879646 2.07193 3.65957 
0.942478 1.6246 4.23607 
1.00531 1.23073 4.8153 
1.06814 0.894469 5.38342 
1.13097 0.617509 5.92634 
1.19381 0.399093 6.43022 
1.25664 0.236068 6.88191 
1.31947 0.123045 7.26944 
1.3823 0.0526343 7.58238 
1.44513 0.0157503 7.81224 
1.50796 0.00198049 7.95273 
1.5708 -1.7707e-45 8 
1.63363 -0.00198049 7.95273 
1.69646 -0.0157503 7.81224 
1.75929 -0.0526343 7.58238 
1.82212 -0.123045 7.26944 
1.88496 -0.236068 6.88191 
1.94779 -0.399093 6.43022 
2.01062 -0.617509 5.92634 
2.07345 -0.894469 5.38342 
2.13628 -1.23073 4.8153 
2.19911 -1.6246 4.23607 
2.26195 -2.07193 3.65957 
2.32478 -2.56626 3.09896 
2.38761 -3.09896 2.56626 
2.45044 -3.65957 2.07193 
2.51327 -4.23607 1.6246 
2.57611 -4.8153 1.23073 
2.63894 -5.38342 0.894469 
2.70177 -5.92634 0.617509 
2.7646 -6.43022 0.399093 
2.82743 -6.88191 0.236068 
2.89027 -7.26944 0.123045 
2.9531 -7.58238 0.0526343 
3.01593 -7.81224 0.0157503 
3.07876 -7.95273 0.00198049 
3.14159 -8 -1.31417e-43 
3.20442 -7.95273 -0.00198049 
3.26726 -7.81224 -0.0157503 
3.33009 -7.58238 -0.0526343 
3.39292 -7.26944 -0.123045 
3.45575 -6.88191 -0.236068 
3.51858 -6.43022 -0.399093 
3.58142 -5.92634 -0.617509 
3.64425 -5.38342 -0.894469 
3.70708 -4.8153 -1.23073 
3.76991 -4.23607 -1.6246 
3.83274 -3.65957 -2.07193 
3.89557 -3.09896 -2.56626 
3.95841 -2.56626 -3.09896 
4.02124 -2.07193 -3.65957 
4.08407 -1.6246 -4.23607 
4.1469 -1.23073 -4.8153 
4.20973 -0.894469 -5.38342 
4.27257 -0.617509 -5.92634 
4.3354 -0.399093 -6.43022 
4.39823 -0.236068 -6.88191 
4.46106 -0.123045 -7.26944 
4.52389 -0.0526343 -7.58238 
4.58673 -0.0157503 -7.81224 
4.64956 -0.00198049 -7.95273 
4.71239 -4.95903e-47 -8 
4.77522 0.00198049 -7.95273 
4.83805 0.0157503 -7.81224 
4.90088 0.0526343 -7.58238 
4.96372 0.123045 -7.26944 
5.02655 0.236068 -6.88191 
5.08938 0.399093 -6.43022 
5.15221 0.617509 -5.92634 
5.21504 0.894469 -5.38342 
5.27788 1.23073 -4.8153 
5.34071 1.6246 -4.23607 
5.40354 2.07193 -3.65957 
5.46637 2.56626 -3.09896 
5.5292 3.09896 -2.56626 
5.59203 3.65957 -2.07193 
5.65487 4.23607 -1.6246 
5.7177 4.8153 -1.23073 
5.78053 5.38342 -0.894469 
5.84336 5.92634 -0.617509 
5.90619 6.43022 -0.399093 
5.96903 6.88191 -0.236068 
6.03186 7.26944 -0.123045 
6.09469 7.58238 -0.0526343 
6.15752 7.81224 -0.0157503 
6.22035 7.95273 -0.00198049 
6.28319 8 -6.08182e-42 
