PARAMETRIC_CURVE_CARTESIAN_2D
Deltoid
t1: 0
t2: 6.28319
NumPoints: 101
0 4 0 
0.0628319 3.98817 0.000247805 
0.125664 3.95281 0.00197658 
0.188496 3.89435 0.00663808 
0.251327 3.81347 0.0156261 
0.314159 3.71113 0.0302487 
0.376991 3.58852 0.051702 
0.439823 3.44708 0.0810453 
0.502655 3.28844 0.119179 
0.565487 3.11444 0.166827 
0.628319 2.92705 0.224514 
0.69115 2.72841 0.292561 
0.753982 2.52073 0.371067 
0.816814 2.3063 0.459911 
0.879646 2.08747 0.558739 
0.942478 1.86655 0.666977 
1.00531 1.64587 0.783829 
1.06814 1.42768 0.908285 
1.13097 1.21413 1.03914 
1.19381 1.00728 1.17501 
1.25664 0.809017 1.31433 
1.31947 0.621073 1.45541 
1.3823 0.444986 1.59645 
1.44513 0.282083 1.73554 
1.50796 0.133466 1.87072 
1.5708 -1.2098e-15 2 
1.63363 -0.117696 2.12139 
1.69646 -0.21925 2.23292 
1.75929 -0.304539 2.3327 
1.82212 -0.373686 2.41892 
1.88496 -0.427051 2.4899 
1.94779 -0.465218 2.5441 
2.01062 -0.488983 2.58017 
2.07345 -0.499334 2.59694 
2.13628 -0.497433 2.59348 
2.19911 -0.484587 2.56909 
2.26195 -0.462229 2.52331 
2.32478 -0.431885 2.45596 
2.38761 -0.395147 2.36712 
2.45044 -0.353645 2.25714 
2.51327 -0.309017 2.12663 
2.57611 -0.262877 1.97648 
2.63894 -0.216787 1.80784 
2.70177 -0.17223 1.62207 
2.7646 -0.130584 1.4208 
2.82743 -0.093096 1.20582 
2.89027 -0.0608596 0.979133 
2.9531 -0.034798 0.742887 
3.01593 -0.0156462 0.499356 
3.07876 -0.00393876 0.250914 
3.14159 -0 -1.01683e-14 
3.20442 -0.00393876 -0.250914 
3.26726 -0.0156462 -0.499356 
3.33009 -0.034798 -0.742887 
3.39292 -0.0608596 -0.979133 
3.45575 -0.093096 -1.20582 
3.51858 -0.130584 -1.4208 
3.58142 -0.17223 -1.62207 
3.64425 -0.216787 -1.80784 
3.70708 -0.262877 -1.97648 
3.76991 -0.309017 -2.12663 
3.83274 -0.353645 -2.25714 
3.89557 -0.395147 -2.36712 
3.95841 -0.431885 -2.45596 
4.02124 -0.462229 -2.52331 
4.08407 -0.484587 -2.56909 
4.1469 -0.497433 -2.59348 
4.20973 -0.499334 -2.59694 
4.27257 -0.488983 -2.58017 
4.3354 -0.465218 -2.5441 
4.39823 -0.427051 -2.4899 
4.46106 -0.373686 -2.41892 
4.52389 -0.304539 -2.3327 
4.58673 -0.21925 -2.23292 
4.64956 -0.117696 -2.12139 
4.71239 -3.67394e-16 -2 
4.77522 0.133466 -1.87072 
4.83805 0.282083 -1.73554 
4.90088 0.444986 -1.59645 
4.96372 0.621073 -1.45541 
5.02655 0.809017 -1.31433 
5.08938 1.00728 -1.17501 
5.15221 1.21413 -1.03914 
5.21504 1.42768 -0.908285 
5.27788 1.64587 -0.783829 
5.34071 1.86655 -0.666977 
5.40354 2.08747 -0.558739 
5.46637 2.3063 -0.459911 
5.5292 2.52073 -0.371067 
5.59203 2.72841 -0.292561 
5.65487 2.92705 -0.224514 
5.7177 3.11444 -0.166827 
5.78053 3.28844 -0.119179 
5.84336 3.44708 -0.0810453 
5.90619 3.58852 -0.051702 
5.96903 3.71113 -0.0302487 
6.03186 3.81347 -0.0156261 
6.09469 3.89435 -0.00663808 
6.15752 3.95281 -0.00197658 
6.22035 3.98817 -0.000247805 
6.28319 4 -0 
