PARAMETRIC_CURVE_CARTESIAN_2D
Deltoid
t1: 0
t2: 6.28319
NumPoints: 101
0 20 0 
0.0628319 19.9408 0.00123903 
0.125664 19.7641 0.0098829 
0.188496 19.4718 0.0331904 
0.251327 19.0674 0.0781305 
0.314159 18.5557 0.151244 
0.376991 17.9426 0.25851 
0.439823 17.2354 0.405227 
0.502655 16.4422 0.595897 
0.565487 15.5722 0.834133 
0.628319 14.6353 1.12257 
0.69115 13.642 1.4628 
0.753982 12.6036 1.85534 
0.816814 11.5315 2.29955 
0.879646 10.4373 2.7937 
0.942478 9.33277 3.33489 
1.00531 8.22937 3.91914 
1.06814 7.1384 4.54143 
1.13097 6.07067 5.1957 
1.19381 5.0364 5.87503 
1.25664 4.04508 6.57164 
1.31947 3.10537 7.27706 
1.3823 2.22493 7.98225 
1.44513 1.41042 8.6777 
1.50796 0.667332 9.3536 
1.5708 -6.04901e-15 10 
1.63363 -0.588479 10.6069 
1.69646 -1.09625 11.1646 
1.75929 -1.5227 11.6635 
1.82212 -1.86843 12.0946 
1.88496 -2.13525 12.4495 
1.94779 -2.32609 12.7205 
2.01062 -2.44491 12.9008 
2.07345 -2.49667 12.9847 
2.13628 -2.48716 12.9674 
2.19911 -2.42294 12.8455 
2.26195 -2.31115 12.6166 
2.32478 -2.15942 12.2798 
2.38761 -1.97573 11.8356 
2.45044 -1.76823 11.2857 
2.51327 -1.54508 10.6331 
2.57611 -1.31438 9.8824 
2.63894 -1.08393 9.03918 
2.70177 -0.861151 8.11036 
2.7646 -0.652922 7.10398 
2.82743 -0.46548 6.0291 
2.89027 -0.304298 4.89567 
2.9531 -0.17399 3.71444 
3.01593 -0.0782312 2.49678 
3.07876 -0.0196938 1.25457 
3.14159 -0 -5.08414e-14 
3.20442 -0.0196938 -1.25457 
3.26726 -0.0782312 -2.49678 
3.33009 -0.17399 -3.71444 
3.39292 -0.304298 -4.89567 
3.45575 -0.46548 -6.0291 
3.51858 -0.652922 -7.10398 
3.58142 -0.861151 -8.11036 
3.64425 -1.08393 -9.03918 
3.70708 -1.31438 -9.8824 
3.76991 -1.54508 -10.6331 
3.83274 -1.76823 -11.2857 
3.89557 -1.97573 -11.8356 
3.95841 -2.15942 -12.2798 
4.02124 -2.31115 -12.6166 
4.08407 -2.42294 -12.8455 
4.1469 -2.48716 -12.9674 
4.20973 -2.49667 -12.9847 
4.27257 -2.44491 -12.9008 
4.3354 -2.32609 -12.7205 
4.39823 -2.13525 -12.4495 
4.46106 -1.86843 -12.0946 
4.52389 -1.5227 -11.6635 
4.58673 -1.09625 -11.1646 
4.64956 -0.588479 -10.6069 
4.71239 -1.83697e-15 -10 
4.77522 0.667332 -9.3536 
4.83805 1.41042 -8.6777 
4.90088 2.22493 -7.98225 
4.96372 3.10537 -7.27706 
5.02655 4.04508 -6.57164 
5.08938 5.0364 -5.87503 
5.15221 6.07067 -5.1957 
5.21504 7.1384 -4.54143 
5.27788 8.22937 -3.91914 
5.34071 9.33277 -3.33489 
5.40354 10.4373 -2.7937 
5.46637 11.5315 -2.29955 
5.5292 12.6036 -1.85534 
5.59203 13.642 -1.4628 
5.65487 14.6353 -1.12257 
5.7177 15.5722 -0.834133 
5.78053 16.4422 -0.595897 
5.84336 17.2354 -0.405227 
5.90619 17.9426 -0.25851 
5.96903 18.5557 -0.151244 
6.03186 19.0674 -0.0781305 
6.09469 19.4718 -0.0331904 
6.15752 19.7641 -0.0098829 
6.22035 19.9408 -0.00123903 
6.28319 20 -0 
