PARAMETRIC_CURVE_CARTESIAN_2D
Lemniscate
t1: 0
t2: 6.28319
NumPoints: 101
0 1 0 
0.0628319 0.994107 0.0624205 
0.125664 0.976771 0.122422 
0.188496 0.948967 0.177819 
0.251327 0.912169 0.226847 
0.314159 0.868155 0.268275 
0.376991 0.818814 0.301426 
0.439823 0.765967 0.326133 
0.502655 0.711238 0.342641 
0.565487 0.655987 0.351496 
0.628319 0.60128 0.353423 
0.69115 0.547897 0.349243 
0.753982 0.496368 0.339787 
0.816814 0.447009 0.325855 
0.879646 0.399967 0.30818 
0.942478 0.355263 0.287414 
1.00531 0.31282 0.264123 
1.06814 0.272498 0.238792 
1.13097 0.23411 0.211829 
1.19381 0.19744 0.183575 
1.25664 0.162256 0.154314 
1.31947 0.128313 0.124282 
1.3823 0.0953649 0.0936757 
1.44513 0.0631627 0.0626647 
1.50796 0.0314573 0.0313952 
1.5708 -3.02451e-16 -3.02451e-16 
1.63363 -0.0314573 -0.0313952 
1.69646 -0.0631627 -0.0626647 
1.75929 -0.0953649 -0.0936757 
1.82212 -0.128313 -0.124282 
1.88496 -0.162256 -0.154314 
1.94779 -0.19744 -0.183575 
2.01062 -0.23411 -0.211829 
2.07345 -0.272498 -0.238792 
2.13628 -0.31282 -0.264123 
2.19911 -0.355263 -0.287414 
2.26195 -0.399967 -0.30818 
2.32478 -0.447009 -0.325855 
2.38761 -0.496368 -0.339787 
2.45044 -0.547897 -0.349243 
2.51327 -0.60128 -0.353423 
2.57611 -0.655987 -0.351496 
2.63894 -0.711238 -0.342641 
2.70177 -0.765967 -0.326133 
2.7646 -0.818814 -0.301426 
2.82743 -0.868155 -0.268275 
2.89027 -0.912169 -0.226847 
2.9531 -0.948967 -0.177819 
3.01593 -0.976771 -0.122422 
3.07876 -0.994107 -0.0624205 
3.14159 -1 2.54207e-15 
3.20442 -0.994107 0.0624205 
3.26726 -0.976771 0.122422 
3.33009 -0.948967 0.177819 
3.39292 -0.912169 0.226847 
3.45575 -0.868155 0.268275 
3.51858 -0.818814 0.301426 
3.58142 -0.765967 0.326133 
3.64425 -0.711238 0.342641 
3.70708 -0.655987 0.351496 
3.76991 -0.60128 0.353423 
3.83274 -0.547897 0.349243 
3.89557 -0.496368 0.339787 
3.95841 -0.447009 0.325855 
4.02124 -0.399967 0.30818 
4.08407 -0.355263 0.287414 
4.1469 -0.31282 0.264123 
4.20973 -0.272498 0.238792 
4.27257 -0.23411 0.211829 
4.3354 -0.19744 0.183575 
4.39823 -0.162256 0.154314 
4.46106 -0.128313 0.124282 
4.52389 -0.0953649 0.0936757 
4.58673 -0.0631627 0.0626647 
4.64956 -0.0314573 0.0313952 
4.71239 -9.18485e-17 9.18485e-17 
4.77522 0.0314573 -0.0313952 
4.83805 0.0631627 -0.0626647 
4.90088 0.0953649 -0.0936757 
4.96372 0.128313 -0.124282 
5.02655 0.162256 -0.154314 
5.08938 0.19744 -0.183575 
5.15221 0.23411 -0.211829 
5.21504 0.272498 -0.238792 
5.27788 0.31282 -0.264123 
5.34071 0.355263 -0.287414 
5.40354 0.399967 -0.30818 
5.46637 0.447009 -0.325855 
5.5292 0.496368 -0.339787 
5.59203 0.547897 -0.349243 
5.65487 0.60128 -0.353423 
5.7177 0.655987 -0.351496 
5.78053 0.711238 -0.342641 
5.84336 0.765967 -0.326133 
5.90619 0.818814 -0.301426 
5.96903 0.868155 -0.268275 
6.03186 0.912169 -0.226847 
6.09469 0.948967 -0.177819 
6.15752 0.976771 -0.122422 
6.22035 0.994107 -0.0624205 
6.28319 1 -9.12671e-15 
