PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 10
NumPoints: 101
0 1 0 
0.1 0.975302 0.0978566 
0.2 0.941638 0.190879 
0.3 0.899702 0.27831 
0.4 0.850246 0.359478 
0.5 0.79407 0.433802 
0.6 0.732007 0.500793 
0.7 0.664922 0.560056 
0.8 0.593694 0.611291 
0.9 0.519212 0.65429 
1 0.442362 0.688938 
1.1 0.364019 0.715211 
1.2 0.285041 0.733168 
1.3 0.206255 0.742953 
1.4 0.128458 0.744787 
1.5 0.0524034 0.738962 
1.6 -0.0212032 0.725839 
1.7 -0.0917077 0.705838 
1.8 -0.158514 0.67943 
1.9 -0.221085 0.647138 
2 -0.278952 0.60952 
2.1 -0.331708 0.567169 
2.2 -0.379016 0.520701 
2.3 -0.420609 0.470752 
2.4 -0.456287 0.417965 
2.5 -0.485918 0.362992 
2.6 -0.509438 0.306476 
2.7 -0.526846 0.249055 
2.8 -0.538206 0.191348 
2.9 -0.543638 0.133955 
3 -0.543319 0.0774483 
3.1 -0.537479 0.0223681 
3.2 -0.526393 -0.0307802 
3.3 -0.51038 -0.0815311 
3.4 -0.489796 -0.129461 
3.5 -0.465031 -0.174194 
3.6 -0.436499 -0.215398 
3.7 -0.40464 -0.252792 
3.8 -0.369909 -0.286145 
3.9 -0.332772 -0.315276 
4 -0.293701 -0.340053 
4.1 -0.253171 -0.360395 
4.2 -0.211651 -0.376268 
4.3 -0.169603 -0.387687 
4.4 -0.127476 -0.394708 
4.5 -0.0857032 -0.397434 
4.6 -0.0446949 -0.396005 
4.7 -0.00483936 -0.390598 
4.8 0.0335027 -0.381424 
4.9 0.0700002 -0.368725 
5 0.104353 -0.352769 
5.1 0.136297 -0.333844 
5.2 0.165599 -0.312261 
5.3 0.192066 -0.288344 
5.4 0.215539 -0.262427 
5.5 0.235896 -0.234854 
5.6 0.253051 -0.20597 
5.7 0.266957 -0.17612 
5.8 0.277598 -0.145646 
5.9 0.284994 -0.114884 
6 0.289198 -0.0841583 
6.1 0.290291 -0.0537799 
6.2 0.288384 -0.0240448 
6.3 0.283614 0.00476933 
6.4 0.276142 0.032405 
6.5 0.266151 0.058627 
6.6 0.253841 0.0832237 
6.7 0.239427 0.106008 
6.8 0.22314 0.12682 
6.9 0.205219 0.145523 
7 0.18591 0.162011 
7.1 0.165465 0.176202 
7.2 0.144135 0.188042 
7.3 0.122174 0.197502 
7.4 0.0998299 0.20458 
7.5 0.0773448 0.209296 
7.6 0.0549535 0.211696 
7.7 0.0328805 0.211845 
7.8 0.011338 0.20983 
7.9 -0.00947529 0.205757 
8 -0.029376 0.199748 
8.1 -0.0481971 0.19194 
8.2 -0.0657893 0.182483 
8.3 -0.0820216 0.171538 
8.4 -0.0967819 0.159275 
8.5 -0.109978 0.14587 
8.6 -0.121536 0.131506 
8.7 -0.131403 0.116365 
8.8 -0.139544 0.100632 
8.9 -0.145945 0.0844912 
9 -0.150609 0.0681227 
9.1 -0.153555 0.0517022 
9.2 -0.154822 0.0353988 
9.3 -0.154462 0.0193741 
9.4 -0.152543 0.00378048 
9.5 -0.149146 -0.0112402 
9.6 -0.144362 -0.0255575 
9.7 -0.138296 -0.0390531 
9.8 -0.131058 -0.0516217 
9.9 -0.12277 -0.0631716 
10 -0.113556 -0.0736253 
