PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 20
NumPoints: 201
0 1 0 
0.1 0.975302 0.0978566 
0.2 0.941638 0.190879 
0.3 0.899702 0.27831 
0.4 0.850246 0.359478 
0.5 0.79407 0.433802 
0.6 0.732007 0.500793 
0.7 0.664922 0.560056 
0.8 0.593694 0.611291 
0.9 0.519212 0.65429 
1 0.442362 0.688938 
1.1 0.364019 0.715211 
1.2 0.285041 0.733168 
1.3 0.206255 0.742953 
1.4 0.128458 0.744787 
1.5 0.0524034 0.738962 
1.6 -0.0212032 0.725839 
1.7 -0.0917077 0.705838 
1.8 -0.158514 0.67943 
1.9 -0.221085 0.647138 
2 -0.278952 0.60952 
2.1 -0.331708 0.567169 
2.2 -0.379016 0.520701 
2.3 -0.420609 0.470752 
2.4 -0.456287 0.417965 
2.5 -0.485918 0.362992 
2.6 -0.509438 0.306476 
2.7 -0.526846 0.249055 
2.8 -0.538206 0.191348 
2.9 -0.543638 0.133955 
3 -0.543319 0.0774483 
3.1 -0.537479 0.0223681 
3.2 -0.526393 -0.0307802 
3.3 -0.51038 -0.0815311 
3.4 -0.489796 -0.129461 
3.5 -0.465031 -0.174194 
3.6 -0.436499 -0.215398 
3.7 -0.40464 -0.252792 
3.8 -0.369909 -0.286145 
3.9 -0.332772 -0.315276 
4 -0.293701 -0.340053 
4.1 -0.253171 -0.360395 
4.2 -0.211651 -0.376268 
4.3 -0.169603 -0.387687 
4.4 -0.127476 -0.394708 
4.5 -0.0857032 -0.397434 
4.6 -0.0446949 -0.396005 
4.7 -0.00483936 -0.390598 
4.8 0.0335027 -0.381424 
4.9 0.0700002 -0.368725 
5 0.104353 -0.352769 
5.1 0.136297 -0.333844 
5.2 0.165599 -0.312261 
5.3 0.192066 -0.288344 
5.4 0.215539 -0.262427 
5.5 0.235896 -0.234854 
5.6 0.253051 -0.20597 
5.7 0.266957 -0.17612 
5.8 0.277598 -0.145646 
5.9 0.284994 -0.114884 
6 0.289198 -0.0841583 
6.1 0.290291 -0.0537799 
6.2 0.288384 -0.0240448 
6.3 0.283614 0.00476933 
6.4 0.276142 0.032405 
6.5 0.266151 0.058627 
6.6 0.253841 0.0832237 
6.7 0.239427 0.106008 
6.8 0.22314 0.12682 
6.9 0.205219 0.145523 
7 0.18591 0.162011 
7.1 0.165465 0.176202 
7.2 0.144135 0.188042 
7.3 0.122174 0.197502 
7.4 0.0998299 0.20458 
7.5 0.0773448 0.209296 
7.6 0.0549535 0.211696 
7.7 0.0328805 0.211845 
7.8 0.011338 0.20983 
7.9 -0.00947529 0.205757 
8 -0.029376 0.199748 
8.1 -0.0481971 0.19194 
8.2 -0.0657893 0.182483 
8.3 -0.0820216 0.171538 
8.4 -0.0967819 0.159275 
8.5 -0.109978 0.14587 
8.6 -0.121536 0.131506 
8.7 -0.131403 0.116365 
8.8 -0.139544 0.100632 
8.9 -0.145945 0.0844912 
9 -0.150609 0.0681227 
9.1 -0.153555 0.0517022 
9.2 -0.154822 0.0353988 
9.3 -0.154462 0.0193741 
9.4 -0.152543 0.00378048 
9.5 -0.149146 -0.0112402 
9.6 -0.144362 -0.0255575 
9.7 -0.138296 -0.0390531 
9.8 -0.131058 -0.0516217 
9.9 -0.12277 -0.0631716 
10 -0.113556 -0.0736253 
10.1 -0.103547 -0.082919 
10.2 -0.092875 -0.0910038 
10.3 -0.0816759 -0.0978446 
10.4 -0.0700839 -0.103421 
10.5 -0.0582326 -0.107724 
10.6 -0.0462528 -0.110762 
10.7 -0.0342716 -0.112553 
10.8 -0.0224111 -0.113127 
10.9 -0.0107874 -0.112526 
11 0.000490381 -0.110802 
11.1 0.011321 -0.108017 
11.2 0.0216116 -0.104242 
11.3 0.0312786 -0.0995524 
11.4 0.0402479 -0.0940328 
11.5 0.0484556 -0.0877718 
11.6 0.0558479 -0.0808623 
11.7 0.0623814 -0.0734001 
11.8 0.0680234 -0.0654828 
11.9 0.0727513 -0.0572089 
12 0.0765527 -0.0486768 
12.1 0.0794253 -0.0399834 
12.2 0.0813763 -0.0312236 
12.3 0.0824219 -0.0224892 
12.4 0.0825869 -0.0138682 
12.5 0.0819043 -0.00544403 
12.6 0.0804141 0.0027053 
12.7 0.0781633 0.0105075 
12.8 0.0752046 0.0178968 
12.9 0.0715958 0.024814 
13 0.0673993 0.0312073 
13.1 0.0626808 0.037032 
13.2 0.0575089 0.0422511 
13.3 0.051954 0.0468352 
13.4 0.0460877 0.0507625 
13.5 0.0399819 0.0540187 
13.6 0.0337084 0.0565971 
13.7 0.0273374 0.0584978 
13.8 0.0209379 0.0597282 
13.9 0.0145759 0.0603019 
14 0.008315 0.0602389 
14.1 0.00221486 0.0595648 
14.2 -0.00366865 0.0583104 
14.3 -0.00928409 0.0565112 
14.4 -0.0145848 0.054207 
14.5 -0.0195291 0.0514409 
14.6 -0.0240806 0.0482594 
14.7 -0.0282083 0.044711 
14.8 -0.0318869 0.0408464 
14.9 -0.0350964 0.0367172 
15 -0.0378226 0.0323759 
15.1 -0.0400567 0.0278751 
15.2 -0.0417951 0.0232668 
15.3 -0.0430397 0.0186023 
15.4 -0.043797 0.0139311 
15.5 -0.0440785 0.0093012 
15.6 -0.0439001 0.0047581 
15.7 -0.0432814 0.000344669 
15.8 -0.0422462 -0.00389922 
15.9 -0.0408212 -0.00793698 
16 -0.0390363 -0.0117356 
16.1 -0.0369238 -0.0152657 
16.2 -0.034518 -0.0185019 
16.3 -0.0318549 -0.0214227 
16.4 -0.0289718 -0.0240108 
16.5 -0.0259066 -0.0262529 
16.6 -0.0226978 -0.0281396 
16.7 -0.0193835 -0.0296658 
16.8 -0.0160018 -0.0308299 
16.9 -0.0125897 -0.0316343 
17 -0.0091831 -0.032085 
17.1 -0.00581657 -0.0321912 
17.2 -0.00252279 -0.0319653 
17.3 0.000667531 -0.0314227 
17.4 0.00372596 -0.0305813 
17.5 0.00662651 -0.0294614 
17.6 0.00934584 -0.0280853 
17.7 0.0118633 -0.0264771 
17.8 0.0141613 -0.0246622 
17.9 0.0162249 -0.0226673 
18 0.0180423 -0.0205198 
18.1 0.0196047 -0.0182474 
18.2 0.0209061 -0.0158783 
18.3 0.0219436 -0.0134403 
18.4 0.0227168 -0.010961 
18.5 0.0232284 -0.00846733 
18.6 0.0234833 -0.00598515 
18.7 0.0234889 -0.00353934 
18.8 0.0232552 -0.00115338 
18.9 0.0227937 0.00115078 
19 0.0221181 0.00335287 
19.1 0.0212437 0.00543446 
19.2 0.0201872 0.00737907 
19.3 0.0189665 0.00917228 
19.4 0.0176005 0.0108017 
19.5 0.0161088 0.0122573 
19.6 0.0145115 0.0135309 
19.7 0.012829 0.0146168 
19.8 0.0110818 0.0155112 
